Page,EntryNo,Level,Name,Tier,Cost,Date
83,8,Level 6,Annihilation Gem,Tier 3,2666,2022.09.22
83,9,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
83,10,Level 7,Annihilation Gem,Tier 3,11000,2022.09.22
84,1,Level 7,Annihilation Gem,Tier 3,12000,2022.09.22
84,2,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
84,3,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
84,4,Level 4,Crimson Flame Gem,Tier 3,115,2022.09.22
84,5,Level 4,Crimson Flame Gem,Tier 3,115,2022.09.22
84,6,Level 2,Annihilation Gem,Tier 3,10,2022.09.22
84,7,Level 2,Annihilation Gem,Tier 3,10,2022.09.22
84,8,Level 2,Annihilation Gem,Tier 3,10,2022.09.22
84,9,Level 6,Crimson Flame Gem,Tier 3,2700,2022.09.22
84,10,Level 6,Crimson Flame Gem,Tier 3,2666,2022.09.22
85,1,Level 7,Crimson Flame Gem,Tier 3,9499,2022.09.22
85,2,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
85,3,Level 7,Crimson Flame Gem,Tier 3,12999,2022.09.22
85,4,Level 6,Annihilation Gem,Tier 3,3333,2022.09.22
85,5,Level 3,Azure Gem,Tier 2,1222,2022.09.22
85,6,Level 3,Azure Gem,Tier 2,16,2022.09.22
85,7,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
85,8,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
85,9,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
85,10,Level 6,Crimson Flame Gem,Tier 3,3333,2022.09.22
86,1,Level 6,Annihilation Gem,Tier 3,2666,2022.09.22
86,2,Level 2,Farsea Gem,Tier 2,-,2022.09.22
86,3,Level 7,Annihilation Gem,Tier 3,10900,2022.09.22
86,4,Level 2,Crimson Flame Gem,Tier 3,34,2022.09.22
86,5,Level 2,Annihilation Gem,Tier 3,34,2022.09.22
86,6,Level 2,Crimson Flame Gem,Tier 3,34,2022.09.22
86,7,Level 2,Annihilation Gem,Tier 3,34,2022.09.22
86,8,Level 2,Crimson Flame Gem,Tier 3,34,2022.09.22
86,9,Level 2,Crimson Flame Gem,Tier 3,34,2022.09.22
86,10,Level 2,Crimson Flame Gem,Tier 3,30,2022.09.22
87,1,Level 2,Crimson Flame Gem,Tier 3,30,2022.09.22
87,2,Level 2,Crimson Flame Gem,Tier 3,20,2022.09.22
87,3,Level 7,Annihilation Gem,Tier 3,9450,2022.09.22
87,4,Level 6,Crimson Flame Gem,Tier 3,2999,2022.09.22
87,5,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
87,6,Level 4,Annihilation Gem,Tier 3,259,2022.09.22
87,7,Level 6,Crimson Flame Gem,Tier 3,2900,2022.09.22
87,8,Level 6,Crimson Flame Gem,Tier 3,2597,2022.09.22
87,9,Level 6,Annihilation Gem,Tier 3,2498,2022.09.22
87,10,Level 6,Crimson Flame Gem,Tier 3,2498,2022.09.22
88,1,Level 6,Annihilation Gem,Tier 3,2498,2022.09.22
88,2,Level 5,Farsea Gem,Tier 2,59,2022.09.22
88,3,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
88,4,Level 2,Annihilation Gem,Tier 3,17,2022.09.22
88,5,Level 7,Annihilation Gem,Tier 3,10499,2022.09.22
88,6,Level 7,Annihilation Gem,Tier 3,9500,2022.09.22
88,7,Level 4,Azure Gem,Tier 2,9000,2022.09.22
88,8,Level 2,Crimson Flame Gem,Tier 3,9000,2022.09.22
88,9,Level 4,Azure Gem,Tier 2,9000,2022.09.22
88,10,Level 4,Azure Gem,Tier 2,20,2022.09.22
89,1,Level 4,Annihilation Gem,Tier 3,310,2022.09.22
89,2,Level 6,Annihilation Gem,Tier 3,3000,2022.09.22
89,3,Level 6,Annihilation Gem,Tier 3,3333,2022.09.22
89,4,Level 6,Annihilation Gem,Tier 3,2999,2022.09.22
89,5,Level 6,Annihilation Gem,Tier 3,3333,2022.09.22
89,6,Level 6,Annihilation Gem,Tier 3,2900,2022.09.22
89,7,Level 6,Annihilation Gem,Tier 3,2899,2022.09.22
89,8,Level 3,Azure Gem,Tier 2,17100,2022.09.22
89,9,Level 2,Azure Gem,Tier 2,1700,2022.09.22
89,10,Level 6,Annihilation Gem,Tier 3,3000,2022.09.22
90,1,Level 3,Azure Gem,Tier 2,1211,2022.09.22
90,2,Level 3,Azure Gem,Tier 2,16,2022.09.22
90,3,Level 7,Annihilation Gem,Tier 3,10200,2022.09.22
90,4,Level 2,Farsea Gem,Tier 2,10011,2022.09.22
90,5,Level 7,Crimson Flame Gem,Tier 3,9500,2022.09.22
90,6,Level 7,Crimson Flame Gem,Tier 3,8900,2022.09.22
90,7,Level 4,Farsea Gem,Tier 2,15200,2022.09.22
90,8,Level 2,Crimson Flame Gem,Tier 3,30,2022.09.22
90,9,Level 7,Annihilation Gem,Tier 3,11000,2022.09.22
90,10,Level 2,Azure Gem,Tier 2,1500,2022.09.22
91,1,Level 2,Farsea Gem,Tier 2,1500,2022.09.22
91,2,Level 5,Azure Gem,Tier 2,1011,2022.09.22
91,3,Level 5,Azure Gem,Tier 2,50,2022.09.22
91,4,Level 4,Farsea Gem,Tier 2,1222,2022.09.22
91,5,Level 4,Farsea Gem,Tier 2,5,2022.09.22
91,6,Level 5,Azure Gem,Tier 2,62,2022.09.22
91,7,Level 5,Azure Gem,Tier 2,62,2022.09.22
91,8,Level 5,Azure Gem,Tier 2,62,2022.09.22
91,9,Level 5,Farsea Gem,Tier 2,56,2022.09.22
91,10,Level 7,Crimson Flame Gem,Tier 3,9499,2022.09.22
92,1,Level 3,Azure Gem,Tier 2,2710,2022.09.22
92,2,Level 3,Azure Gem,Tier 2,999,2022.09.22
92,3,Level 3,Azure Gem,Tier 2,16,2022.09.22
92,4,Level 3,Azure Gem,Tier 2,30001,2022.09.22
92,5,Level 7,Azure Gem,Tier 2,100061,2022.09.22
92,6,Level 7,Azure Gem,Tier 2,100063,2022.09.22
92,7,Level 7,Azure Gem,Tier 2,100062,2022.09.22
92,8,Level 3,Azure Gem,Tier 2,50000,2022.09.22
92,9,Level 3,Farsea Gem,Tier 2,50000,2022.09.22
92,10,Level 2,FarseaGem,Tier 2,50000,2022.09.22
93,1,Level 5,Farsea Gem,Tier 2,55,2022.09.22
93,2,Level 7,Azure Gem,Tier 2,220,2022.09.22
93,3,Level 7,Azure Gem,Tier 2,199,2022.09.22
93,4,Level 7,Azure Gem,Tier 2,199,2022.09.22
93,5,Level 2,Farsea Gem,Tier 2,200000,2022.09.22
93,6,Level 7,Annihilation Gem,Tier 3,11999,2022.09.22
93,7,Level 6,Farsea Gem,Tier 2,100,2022.09.22
93,8,Level 5,Farsea Gem,Tier 2,110,2022.09.22
93,9,Level 7,Crimson Flame Gem,Tier 3,10999,2022.09.22
93,10,Level 7,Annihilation Gem,Tier 3,10000,2022.09.22
94,1,Level 3,Farsea Gem,Tier 2,50000,2022.09.22
94,2,Level 7,Annihilation Gem,Tier 3,11999,2022.09.22
94,3,Level 7,Crimson Flame Gem,Tier 3,12000,2022.09.22
94,4,Level 7,Crimson Flame Gem,Tier 3,10500,2022.09.22
94,5,Level 7,Crimson Flame Gem,Tier 3,10000,2022.09.22
94,6,Level 7,Crimson Flame Gem,Tier 3,9999,2022.09.22
94,7,Level 7,Annihilation Gem,Tier 3,11000,2022.09.22
94,8,Level 7,Annihilation Gem,Tier 3,9500,2022.09.22
94,9,Level 3,Azure Gem,Tier 2,3154,2022.09.22
94,10,Level 3,Azure Gem,Tier 2,999,2022.09.22
95,1,Level 3,Azure Gem,Tier 2,15,2022.09.22
95,2,Level 6,Farsea Gem,Tier 2,144021,2022.09.22
95,3,Level 5,Azure Gem,Tier 2,50,2022.09.22
95,4,Level 5,Farsea Gem,Tier 2,80024,2022.09.22
95,5,Level 8,FarseaGem,Tier 2,690,2022.09.22
95,6,Level 7,FarseaGem,Tier 2,280,2022.09.22
95,7,Level 7,FarseaGem,Tier 2,225,2022.09.22
95,8,Level 7,FarseaGem,Tier 2,215,2022.09.22
95,9,Level 7,FarseaGem,Tier 2,215,2022.09.22
95,10,Level 3,Azure Gem,Tier 2,200031,2022.09.22
96,1,Level 3,Farsea Gem,Tier 2,2,2022.09.22
96,2,Level 3,Azure Gem,Tier 2,150011,2022.09.22
96,3,Level 7,Crimson Flame Gem,Tier 3,9500,2022.09.22
96,4,Level 3,Azure Gem,Tier 2,1,2022.09.22
96,5,Level 7,Crimson Flame Gem,Tier 3,11000,2022.09.22
96,6,Level 7,Crimson Flame Gem,Tier 3,11000,2022.09.22
96,7,Level 3,Azure Gem,Tier 2,2,2022.09.22
96,8,Level 3,Azure Gem,Tier 2,2,2022.09.22
96,9,Level 3,Azure Gem,Tier 2,500,2022.09.22
96,10,Level 7,Azure Gem,Tier 2,300,2022.09.22
97,1,Level 7,Annihilation Gem,Tier 3,9800,2022.09.21
97,2,Level 7,Crimson Flame Gem,Tier 3,9250,2022.09.21
97,3,Level 2,Farsea Gem,Tier 2,3,2022.09.21
97,4,Level 2,Farsea Gem,Tier 2,-,2022.09.21
97,5,Level 2,Farsea Gem,Tier 2,3,2022.09.21
97,6,Level 8,Crimson Flame Gem,Tier 3,25000,2022.09.21
97,7,Level 2,Azure Gem,Tier 2,14000,2022.09.21
97,8,Level 9,Azure Gem,Tier 2,1444,2022.09.21
97,9,Level 2,Farsea Gem,Tier 2,2601,2022.09.21
97,10,Level 8,Crimson Flame Gem,Tier 3,29000,2022.09.21
98,1,Level 5,Farsea Gem,Tier 2,1400,2022.09.21
98,2,Level 7,Crimson Flame Gem,Tier 3,9450,2022.09.21
98,3,Level 7,Crimson Flame Gem,Tier 3,9450,2022.09.21
98,4,Level 3,Azure Gem,Tier 2,4500,2022.09.21
98,5,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
98,6,Level 2,Farsea Gem,Tier 2,1500,2022.09.21
98,7,Level 3,Azure Gem,Tier 2,5,2022.09.21
98,8,Level 2,Farsea Gem,Tier 2,5601,2022.09.21
98,9,Level 8,FarseaGem,Tier 2,599,2022.09.21
98,10,Level 8,Azure Gem,Tier 2,599,2022.09.21
99,1,Level 7,Azure Gem,Tier 2,220,2022.09.21
99,2,Level 7,Azure Gem,Tier 2,215,2022.09.21
99,3,Level 7,FarseaGem,Tier 2,200,2022.09.21
99,4,Level 7,FarseaGem,Tier 2,200,2022.09.21
99,5,Level 7,Azure Gem,Tier 2,199,2022.09.21
99,6,Level 7,FarseaGem,Tier 2,199,2022.09.21
99,7,Level 8,FarseaGem,Tier 2,489,2022.09.21
99,8,Level 7,Annihilation Gem,Tier 3,11900,2022.09.21
99,9,Level 6,Farsea Gem,Tier 2,100,2022.09.21
99,10,Level 6,Azure Gem,Tier 2,60,2022.09.21
100,1,Level 7,Annihilation Gem,Tier 3,9999,2022.09.21
100,2,Level 7,Annihilation Gem,Tier 3,9999,2022.09.21
100,3,Level 7,Annihilation Gem,Tier 3,9998,2022.09.21
100,4,Level 7,Crimson Flame Gem,Tier 3,10000,2022.09.21
100,5,Level 2,Azure Gem,Tier 2,2250,2022.09.21
100,6,Level 7,Annihilation Gem,Tier 3,9989,2022.09.21
100,7,Level 7,Crimson Flame Gem,Tier 3,10000,2022.09.21
100,8,Level 5,Farsea Gem,Tier 2,1400,2022.09.21
100,9,Level 2,Azure Gem,Tier 2,1400,2022.09.21
100,10,Level 2,FarseaGem,Tier 2,1400,2022.09.21
101,1,Level 3,Farsea Gem,Tier 2,1400,2022.09.21
101,2,Level 5,Azure Gem,Tier 2,1400,2022.09.21
101,3,Level 5,Azure Gem,Tier 2,1400,2022.09.21
101,4,Level 4,Farsea Gem,Tier 2,1500,2022.09.21
101,5,Level 3,Azure Gem,Tier 2,1500,2022.09.21
101,6,Level 4,Azure Gem,Tier 2,1500,2022.09.21
101,7,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
101,8,Level 7,Crimson Flame Gem,Tier 3,10000,2022.09.21
101,9,Level 7,Crimson Flame Gem,Tier 3,10000,2022.09.21
101,10,Level 7,Crimson Flame Gem,Tier 3,10000,2022.09.21
102,1,Level 7,Crimson Flame Gem,Tier 3,10000,2022.09.21
102,2,Level 7,Annihilation Gem,Tier 3,9500,2022.09.21
102,3,Level 3,Azure Gem,Tier 2,22695,2022.09.21
102,4,Level 3,Azure Gem,Tier 2,15,2022.09.21
102,5,Level 4,Farsea Gem,Tier 2,400,2022.09.21
102,6,Level 3,Azure Gem,Tier 2,22100,2022.09.21
102,7,Level 7,Annihilation Gem,Tier 3,9999,2022.09.21
102,8,Level 5,Farsea Gem,Tier 2,70,2022.09.21
102,9,Level 5,Farsea Gem,Tier 2,60,2022.09.21
102,10,Level 5,Farsea Gem,Tier 2,99,2022.09.21
103,1,Level 5,Farsea Gem,Tier 2,60,2022.09.21
103,2,Level 5,Farsea Gem,Tier 2,45,2022.09.21
103,3,Level 4,Farsea Gem,Tier 2,55,2022.09.21
103,4,Level 4,Farsea Gem,Tier 2,40,2022.09.21
103,5,Level 3,Azure Gem,Tier 2,1500,2022.09.21
103,6,Level 3,Azure Gem,Tier 2,0,2022.09.21
103,7,Level 3,Azure Gem,Tier 2,20,2022.09.21
103,8,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
103,9,Level 3,Azure Gem,Tier 2,1500,2022.09.21
103,10,Level 5,Farsea Gem,Tier 2,55,2022.09.21
104,1,Level 5,Farsea Gem,Tier 2,60,2022.09.21
104,2,Level 5,Farsea Gem,Tier 2,50,2022.09.21
104,3,Level 5,Farsea Gem,Tier 2,35,2022.09.21
104,4,Level 6,Azure Gem,Tier 2,300,2022.09.21
104,5,Level 5,Farsea Gem,Tier 2,49,2022.09.21
104,6,Level 5,Farsea Gem,Tier 2,50,2022.09.21
104,7,Level 3,Farsea Gem,Tier 2,10,2022.09.21
104,8,Level 6,Azure Gem,Tier 2,10,2022.09.21
104,9,Level 3,Farsea Gem,Tier 2,400,2022.09.21
104,10,Level 4,Farsea Gem,Tier 2,55,2022.09.21
105,1,Level 3,Azure Gem,Tier 2,400,2022.09.21
105,2,Level 5,Azure Gem,Tier 2,60,2022.09.21
105,3,Level 5,Azure Gem,Tier 2,60,2022.09.21
105,4,Level 5,Azure Gem,Tier 2,60,2022.09.21
105,5,Level 5,Azure Gem,Tier 2,60,2022.09.21
105,6,Level 5,Azure Gem,Tier 2,55,2022.09.21
105,7,Level 5,Azure Gem,Tier 2,55,2022.09.21
105,8,Level 5,Azure Gem,Tier 2,50,2022.09.21
105,9,Level 7,Crimson Flame Gem,Tier 3,9599,2022.09.21
105,10,Level 2,FarseaGem,Tier 2,4000,2022.09.21
106,1,Level 2,Azure Gem,Tier 2,1300,2022.09.21
106,2,Level 5,Farsea Gem,Tier 2,7,2022.09.21
106,3,Level 3,Azure Gem,Tier 2,1500,2022.09.21
106,4,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
106,5,Level 7,Annihilation Gem,Tier 3,10998,2022.09.21
106,6,Level 3,Farsea Gem,Tier 2,1600,2022.09.21
106,7,Level 3,Farsea Gem,Tier 2,1600,2022.09.21
106,8,Level 3,Azure Gem,Tier 2,1600,2022.09.21
106,9,Level 4,Azure Gem,Tier 2,90,2022.09.21
106,10,Level 4,Azure Gem,Tier 2,1500,2022.09.21
107,1,Level 3,Azure Gem,Tier 2,20,2022.09.21
107,2,Level 6,Farsea Gem,Tier 2,155,2022.09.21
107,3,Level 6,Farsea Gem,Tier 2,135,2022.09.21
107,4,Level 3,Farsea Gem,Tier 2,21482,2022.09.21
107,5,Level 3,Azure Gem,Tier 2,-,2022.09.21
107,6,Level 3,Azure Gem,Tier 2,3,2022.09.21
107,7,Level 9,Crimson Flame Gem,Tier 3,87800,2022.09.21
107,8,Level 5,Azure Gem,Tier 2,44,2022.09.21
107,9,Level 8,Annihilation Gem,Tier 3,29499,2022.09.21
107,10,Level 7,Crimson Flame Gem,Tier 3,9989,2022.09.21
108,1,Level 7,Crimson Flame Gem,Tier 3,9599,2022.09.21
108,2,Level 7,Crimson Flame Gem,Tier 3,9500,2022.09.21
108,3,Level 5,Farsea Gem,Tier 2,35,2022.09.21
108,4,Level 3,Farsea Gem,Tier 2,1,2022.09.21
108,5,Level 3,Farsea Gem,Tier 2,5,2022.09.21
108,6,Level 6,Azure Gem,Tier 2,110,2022.09.21
108,7,Level 2,Farsea Gem,Tier 2,1300,2022.09.21
108,8,Level 5,Azure Gem,Tier 2,10,2022.09.21
108,9,Level 5,Azure Gem,Tier 2,30,2022.09.21
108,10,Level 5,Azure Gem,Tier 2,30,2022.09.21
109,1,Level 5,Farsea Gem,Tier 2,10,2022.09.21
109,2,Level 5,Farsea Gem,Tier 2,30,2022.09.21
109,3,Level 5,Farsea Gem,Tier 2,30,2022.09.21
109,4,Level 5,Farsea Gem,Tier 2,30,2022.09.21
109,5,Level 5,Farsea Gem,Tier 2,30,2022.09.21
109,6,Level 7,Annihilation Gem,Tier 3,9000,2022.09.21
109,7,Level 7,Annihilation Gem,Tier 3,9000,2022.09.21
109,8,Level 2,Azure Gem,Tier 2,1500,2022.09.21
109,9,Level 2,Azure Gem,Tier 2,1500,2022.09.21
109,10,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
110,1,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
110,2,Level 3,Farsea Gem,Tier 2,19907,2022.09.21
110,3,Level 3,Azure Gem,Tier 2,15,2022.09.21
110,4,Level 3,Azure Gem,Tier 2,15,2022.09.21
110,5,Level 3,Farsea Gem,Tier 2,10,2022.09.21
110,6,Level 3,Farsea Gem,Tier 2,10,2022.09.21
110,7,Level 4,Azure Gem,Tier 2,1500,2022.09.21
110,8,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
110,9,Level 4,Farsea Gem,Tier 2,1500,2022.09.21
110,10,Level 7,Crimson Flame Gem,Tier 3,9599,2022.09.21
111,1,Level 4,Azure Gem,Tier 2,1500,2022.09.21
111,2,Level 4,Azure Gem,Tier 2,10,2022.09.21
111,3,Level 4,Farsea Gem,Tier 2,10,2022.09.21
111,4,Level 4,Azure Gem,Tier 2,2,2022.09.21
111,5,Level 5,Azure Gem,Tier 2,50,2022.09.21
111,6,Level 2,Farsea Gem,Tier 2,1300,2022.09.21
111,7,Level 2,Azure Gem,Tier 2,1300,2022.09.21
111,8,Level 2,Azure Gem,Tier 2,1300,2022.09.21
111,9,Level 2,Farsea Gem,Tier 2,1300,2022.09.21
111,10,Level 3,Farsea Gem,Tier 2,2,2022.09.21
112,1,Level 6,Azure Gem,Tier 2,16,2022.09.21
112,2,Level 6,Farsea Gem,Tier 2,16,2022.09.21
112,3,Level 2,Farsea Gem,Tier 2,1300,2022.09.21
112,4,Level 2,Farsea Gem,Tier 2,1300,2022.09.21
112,5,Level 7,Annihilation Gem,Tier 3,9700,2022.09.21
112,6,Level 2,Azure Gem,Tier 2,1300,2022.09.21
112,7,Level 4,Azure Gem,Tier 2,4500,2022.09.21
112,8,Level 7,Annihilation Gem,Tier 3,10180,2022.09.21
112,9,Level 5,Azure Gem,Tier 2,1500,2022.09.21
112,10,Level 3,Farsea Gem,Tier 2,1,2022.09.21
113,1,Level 3,Farsea Gem,Tier 2,7999,2022.09.21
113,2,Level 4,Azure Gem,Tier 2,40,2022.09.21
113,3,Level 2,Azure Gem,Tier 2,1500,2022.09.21
113,4,Level 4,Azure Gem,Tier 2,1500,2022.09.21
113,5,Level 5,Farsea Gem,Tier 2,123,2022.09.21
113,6,Level 3,Farsea Gem,Tier 2,6372,2022.09.21
113,7,Level 2,Azure Gem,Tier 2,400,2022.09.21
113,8,Level 2,Azure Gem,Tier 2,70,2022.09.21
113,9,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
113,10,Level 3,Farsea Gem,Tier 2,400,2022.09.21
114,1,Level 2,Farsea Gem,Tier 2,1000,2022.09.21
114,2,Level 2,Farsea Gem,Tier 2,400,2022.09.21
114,3,Level 2,Farsea Gem,Tier 2,400,2022.09.21
114,4,Level 3,Farsea Gem,Tier 2,11469,2022.09.21
114,5,Level 4,Farsea Gem,Tier 2,23290,2022.09.21
114,6,Level 7,Annihilation Gem,Tier 3,9799,2022.09.21
114,7,Level 2,Farsea Gem,Tier 2,2666,2022.09.21
114,8,Level 3,Farsea Gem,Tier 2,16844,2022.09.21
114,9,Level 4,Farsea Gem,Tier 2,5000,2022.09.21
114,10,Level 4,Farsea Gem,Tier 2,0,2022.09.21
115,1,Level 7,Azure Gem,Tier 2,199,2022.09.21
115,2,Level 2,Azure Gem,Tier 2,8000,2022.09.21
115,3,Level 2,Farsea Gem,Tier 2,2666,2022.09.21
115,4,Level 3,Farsea Gem,Tier 2,19193,2022.09.21
115,5,Level 2,Azure Gem,Tier 2,4500,2022.09.21
115,6,Level 7,Annihilation Gem,Tier 3,9799,2022.09.21
115,7,Level 7,Annihilation Gem,Tier 3,9500,2022.09.21
115,8,Level 7,Annihilation Gem,Tier 3,9499,2022.09.21
115,9,Level 7,Annihilation Gem,Tier 3,9450,2022.09.21
115,10,Level 9,Crimson Flame Gem,Tier 3,79999,2022.09.21
116,1,Level 3,Farsea Gem,Tier 2,350,2022.09.21
116,2,Level 2,Farsea Gem,Tier 2,1400,2022.09.21
116,3,Level 4,Azure Gem,Tier 2,250,2022.09.21
116,4,Level 4,Farsea Gem,Tier 2,250,2022.09.21
116,5,Level 2,Farsea Gem,Tier 2,7900,2022.09.21
116,6,Level 2,Farsea Gem,Tier 2,-,2022.09.21
116,7,Level 2,Farsea Gem,Tier 2,500,2022.09.21
116,8,Level 5,Farsea Gem,Tier 2,30000,2022.09.21
116,9,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
116,10,Level 5,Azure Gem,Tier 2,5000,2022.09.21
117,1,Level 3,Farsea Gem,Tier 2,100055,2022.09.21
117,2,Level 5,Azure Gem,Tier 2,0,2022.09.21
117,3,Level 2,Farsea Gem,Tier 2,1500,2022.09.21
117,4,Level 3,Farsea Gem,Tier 2,10,2022.09.21
117,5,Level 3,Farsea Gem,Tier 2,10,2022.09.21
117,6,Level 3,Farsea Gem,Tier 2,20307,2022.09.21
117,7,Level 4,Farsea Gem,Tier 2,5000,2022.09.21
117,8,Level 3,Farsea Gem,Tier 2,5000,2022.09.21
117,9,Level 2,FarseaGem,Tier 2,1500,2022.09.21
117,10,Level 3,Farsea Gem,Tier 2,19860,2022.09.21
118,1,Level 3,Farsea Gem,Tier 2,10996,2022.09.21
118,2,Level 3,Farsea Gem,Tier 2,1500,2022.09.21
118,3,Level 2,Azure Gem,Tier 2,1400,2022.09.21
118,4,Level 2,Azure Gem,Tier 2,3,2022.09.21
118,5,Level 10,Level 10 Crimson Flame Gem,Tier 3,135000,2022.09.21
118,6,Level 5,Azure Gem,Tier 2,1500,2022.09.21
118,7,Level 4,Farsea Gem,Tier 2,20,2022.09.21
118,8,Level 4,Azure Gem,Tier 2,15,2022.09.21
118,9,Level 4,Azure Gem,Tier 2,15,2022.09.21
118,10,Level 5,Azure Gem,Tier 2,55,2022.09.21
119,1,Level 2,Azure Gem,Tier 2,1400,2022.09.21
119,2,Level 4,Farsea Gem,Tier 2,0,2022.09.21
119,3,Level 4,Farsea Gem,Tier 2,20,2022.09.21
119,4,Level 4,Farsea Gem,Tier 2,17,2022.09.21
119,5,Level 4,Farsea Gem,Tier 2,17,2022.09.21
119,6,Level 4,Azure Gem,Tier 2,0,2022.09.21
119,7,Level 4,Azure Gem,Tier 2,20,2022.09.21
119,8,Level 4,Azure Gem,Tier 2,0,2022.09.21
119,9,Level 4,Azure Gem,Tier 2,20,2022.09.21
119,10,Level 5,Farsea Gem,Tier 2,2000,2022.09.21
120,1,Level 2,Azure Gem,Tier 2,350,2022.09.21
120,2,Level 2,Azure Gem,Tier 2,350,2022.09.21
120,3,Level 2,Azure Gem,Tier 2,8000,2022.09.21
120,4,Level 2,Azure Gem,Tier 2,350,2022.09.21
120,5,Level 2,Azure Gem,Tier 2,3,2022.09.21
120,6,Level 2,Azure Gem,Tier 2,3,2022.09.21
120,7,Level 2,Azure Gem,Tier 2,3,2022.09.21
120,8,Level 2,Azure Gem,Tier 2,1500,2022.09.21
120,9,Level 2,Azure Gem,Tier 2,1500,2022.09.21
120,10,Level 2,Azure Gem,Tier 2,1399,2022.09.21
121,1,Level 4,Farsea Gem,Tier 2,1500,2022.09.21
121,2,Level 4,Azure Gem,Tier 2,1500,2022.09.21
121,3,Level 5,Azure Gem,Tier 2,50,2022.09.21
121,4,Level 5,Farsea Gem,Tier 2,1,2022.09.21
121,5,Level 5,Farsea Gem,Tier 2,16140,2022.09.21
121,6,Level 5,Farsea Gem,Tier 2,1,2022.09.21
121,7,Level 5,Farsea Gem,Tier 2,16210,2022.09.21
121,8,Level 7,Azure Gem,Tier 2,215,2022.09.21
121,9,Level 4,Farsea Gem,Tier 2,25,2022.09.21
121,10,Level 4,Azure Gem,Tier 2,25,2022.09.21
122,1,Level 4,Farsea Gem,Tier 2,25,2022.09.21
122,2,Level 5,Farsea Gem,Tier 2,35,2022.09.21
122,3,Level 4,Farsea Gem,Tier 2,25,2022.09.21
122,4,Level 5,Farsea Gem,Tier 2,1,2022.09.21
122,5,Level 5,Farsea Gem,Tier 2,15290,2022.09.21
122,6,Level 5,Farsea Gem,Tier 2,1,2022.09.21
122,7,Level 5,Farsea Gem,Tier 2,15500,2022.09.21
122,8,Level 4,Azure Gem,Tier 2,40002,2022.09.21
122,9,Level 7,Azure Gem,Tier 2,200011,2022.09.21
122,10,Level 7,Azure Gem,Tier 2,200,2022.09.21
123,1,Level 8,Annihilation Gem,Tier 3,28875,2022.09.21
123,2,Level 8,Annihilation Gem,Tier 3,27000,2022.09.21
123,3,Level 6,Azure Gem,Tier 2,129,2022.09.21
123,4,Level 6,Azure Gem,Tier 2,60,2022.09.21
123,5,Level 6,Azure Gem,Tier 2,60,2022.09.21
123,6,Level 9,Crimson Flame Gem,Tier 3,89500,2022.09.21
123,7,Level 9,Crimson Flame Gem,Tier 3,85000,2022.09.21
123,8,Level 8,Azure Gem,Tier 2,555,2022.09.20
123,9,Level 8,Azure Gem,Tier 2,490,2022.09.20
123,10,Level 6,Azure Gem,Tier 2,250,2022.09.20
124,1,Level 8,Annihilation Gem,Tier 3,27400,2022.09.20
124,2,Level 6,Azure Gem,Tier 2,60,2022.09.20
124,3,Level 6,Azure Gem,Tier 2,50,2022.09.20
124,4,Level 8,Crimson Flame Gem,Tier 3,38000,2022.09.20
124,5,Level 7,Farsea Gem,Tier 2,210,2022.09.20
124,6,Level 7,FarseaGem,Tier 2,200,2022.09.20
124,7,Level 8,Azure Gem,Tier 2,800,2022.09.20
124,8,Level 9,Annihilation Gem,Tier 3,105999,2022.09.20
124,9,Level 8,Annihilation Gem,Tier 3,29998,2022.09.20
124,10,Level 8,Annihilation Gem,Tier 3,29998,2022.09.20
125,1,Level 8,Annihilation Gem,Tier 3,29950,2022.09.20
125,2,Level 8,Azure Gem,Tier 2,1200,2022.09.20
125,3,Level 8,Annihilation Gem,Tier 3,29950,2022.09.20
125,4,Level 6,Azure Gem,Tier 2,50,2022.09.20
125,5,Level 8,Farsea Gem,Tier 2,190,2022.09.20
125,6,Level 8,Crimson Flame Gem,Tier 3,30000,2022.09.20
125,7,Level 8,Crimson Flame Gem,Tier 3,29999,2022.09.19
125,8,Level 7,Farsea Gem,Tier 2,2500,2022.09.19
125,9,Level 9,Annihilation Gem,Tier 3,120000,2022.09.19
125,10,Level 6,Azure Gem,Tier 2,18,2022.09.19
126,1,Level 6,Azure Gem,Tier 2,18,2022.09.19
126,2,Level 8,Crimson Flame Gem,Tier 3,27000,2022.09.19
126,3,Level 8,Crimson Flame Gem,Tier 3,27000,2022.09.19
